CÓDIGOARTÍCULO,SECCIÓN,NOMBREARTÍCULO,PRECIO,FECHA,IMPORTADO,PAÍSDEORIGEN,FOTO
AR01,FERRETERÍA,DESTORNILLADOR,6.63,22/10/2000,FALSE,ESPAÑA,
AR02,CONFECCIÓN,TRAJE CABALLERO,284.58,11/03/2002,TRUE,ITALIA,
AR03,JUGUETERÍA,COCHE TELEDIRIGIDO,159.45,26/05/2002,TRUE,MARRUECOS,
AR04,DEPORTES,RAQUETA TENIS,93.47,20/03/2000,TRUE,USA,
AR06,DEPORTES,MANCUERNAS,60.00,13/09/2000,TRUE,USA,
AR07,CONFECCIÓN,SERRUCHO,30.20,23/03/2001,TRUE,FRANCIA,
AR08,JUGUETERÍA,CORREPASILLOS,103.34,11/04/2000,TRUE,JAPÓN,
AR09,CONFECCIÓN,PANTALÓN SEÑORA,174.23,10/01/2000,TRUE,MARRUECOS,
AR10,JUGUETERÍA,CONSOLA VIDEO,442.54,24/09/2002,TRUE,USA,
AR11,CERÁMICA,TUBOS,168.43,04/02/2000,TRUE,CHINA,
AR12,FERRETERÍA,LLAVE INGLESA,24.40,23/05/2001,TRUE,USA,
AR13,CONFECCIÓN,CAMISA CABALLERO,67.13,11/08/2002,FALSE,ESPAÑA,
AR14,JUGUETERÍA,TREN ELÉCTRICO,"1,505.38",03/07/2001,TRUE,JAPÓN,
AR15,CERÁMICA,PLATO DECORATIVO,54.09,07/06/2000,TRUE,CHINA,
AR16,FERRETERÍA,ALICATES,6.74,17/04/2000,TRUE,ITALIA,
AR17,JUGUETERÍA,MUÑECA ANDADORA,105.06,04/01/2001,FALSE,ESPAÑA,
AR18,DEPORTES,PISTOLA OLÍMPICA,46.73,02/02/2001,TRUE,SUECIA,
AR19,CONFECCIÓN,BLUSA SRA.,101.06,18/03/2000,TRUE,CHINA,
AR20,CERÁMICA,JUEGO DE TE,43.27,15/01/2001,TRUE,CHINA,
AR21,CERÁMICA,CENICERO,19.75,02/07/2001,TRUE,JAPÓN,
AR22,FERRETERÍA,MARTILLO,11.40,04/09/2001,FALSE,ESPAÑA,
AR23,CONFECCIÓN,CAZADORA PIEL,522.69,10/07/2001,TRUE,ITALIA,
AR24,DEPORTES,BALÓN RUGBY,111.64,11/11/2000,TRUE,USA,
AR25,DEPORTES,BALÓN BALONCESTO,75.27,25/06/2001,TRUE,JAPÓN,
AR26,JUGUETERÍA,FUERTE DE SOLDADOS,143.70,25/11/2000,TRUE,JAPÓN,
AR27,CONFECCIÓN,ABRIGO CABALLERO,"500,000.00",05/04/2002,TRUE,ITALIA,
AR28,DEPORTES,BALÓN FÚTBOL,43.91,04/07/2002,FALSE,ESPAÑA,
AR29,CONFECCIÓN,ABRIGO SRA,360.07,03/05/2001,TRUE,MARRUECOS,
AR30,FERRETERÍA,DESTORNILLADOR,9.06,20/02/2002,TRUE,FRANCIA,
AR31,JUGUETERÍA,PISTOLA CON SONIDOS,57.25,15/04/2001,FALSE,ESPAÑA,
AR32,DEPORTES,CRONÓMETRO,439.18,03/01/2002,TRUE,USA,
AR33,CERÁMICA,MACETA,29.04,23/02/2000,FALSE,ESPAÑA,
AR34,OFICINA,PIE DE LÁMPARA,39.76,27/05/2001,TRUE,TURQUÍA,
AR35,FERRETERÍA,LIMA GRANDE,22.07,10/08/2002,FALSE,ESPAÑA,
AR36,FERRETERÍA,JUEGO DE BROCAS,15.10,04/07/2002,TRUE,TAIWÁN,
AR37,CONFECCIÓN,CINTURÓN DE PIEL,4.33,12/05/2002,FALSE,ESPAÑA,
AR38,DEPORTES,CAÑA DE PESCA,270.00,14/02/2000,TRUE,USA,
AR39,CERÁMICA,JARRA CHINA,127.77,02/09/2002,TRUE,CHINA,
AR40,DEPORTES,BOTA ALPINISMO,144.00,05/05/2002,FALSE,ESPAÑA,
AR41,DEPORTES,PALAS DE PING PONG,21.60,02/02/2002,FALSE,ESPAÑA,
